device_id,location_general,type,max_heartbeat_str,description,fields,notes,x,y,z,grid
awair-3460,linklab,awair_element,10s,"9.66,9.95,0.38","Humidity_%,Temperature_°C,awair_score,co2_ppm,pm2.5_μg/m3,voc_ppb",,9.66,9.95,0.38,123
018a2adf,linklab,temp_humid,15min,"10.52,10.27,1.1","Temperature_°C,Humidity_%,T-Sensor,rssi",,10.52,10.27,1.1,123
awair-2992,linklab,awair_element,10s,"37.79,10.25,0.38","Humidity_%,Temperature_°C,awair_score,co2_ppm,pm2.5_μg/m3,voc_ppb",,37.79,10.25,0.38,132
018a33c5,linklab,temp_humid,15min,"56.9,10.73,1.1","Temperature_°C,Humidity_%,T-Sensor,rssi",,56.9,10.73,1.1,138
01814dd0,linklab,contact,25min,"56.56,11.61,1.1","Contact,rssi",,56.56,11.61,1.1,138
050621a8,linklab,light_level,30min,"58.28,12.05,3.1","Illumination_lx,Range select,Supply voltage_V,rssi",,58.28,12.05,3.1,139
018a29cc,linklab,temp_humid,15min,"60.48,11.42,1.1","Temperature_°C,Humidity_%,T-Sensor,rssi",,60.48,11.42,1.1,139
050d69ce,linklab,dual_motion,100s,"58.12,11.78,3.1","PIR Status,Supply voltage (OPTIONAL)_V,Supply voltage availability,rssi",,58.12,11.78,3.1,139
018342dc,linklab,contact,25min,"60.31,12.1,1.1","Contact,rssi",,60.31,12.1,1.1,139
050624f0,linklab,light_level,30min,"2.01,8.14,3.1","Illumination_lx,Range select,Supply voltage_V,rssi",,2.01,8.14,3.1,140
0580b1cd,linklab,dual_motion,100s,"2.12,8.26,3.1","PIR Status,Supply voltage (OPTIONAL)_V,Supply voltage availability,rssi",,2.12,8.26,3.1,140
1834349,linklab,contact,25min,"0.16,8.89,1.1","Contact,rssi",,0.16,8.89,1.1,140
018a2167,linklab,temp_humid,15min,"3.36,6.63,1.1","Temperature_°C,Humidity_%,T-Sensor,rssi",,3.36,6.63,1.1,141
1834352,linklab,contact,25min,"3.66,6.65,1.1","Contact,rssi",,3.66,6.65,1.1,141
awair-3284,linklab,awair_element,10s,"21.84,6.93,0.38","Humidity_%,Temperature_°C,awair_score,co2_ppm,pm2.5_μg/m3,voc_ppb",,21.84,6.93,0.38,147
018341a1,linklab,contact,25min,"37.59,6.7,1.1","Contact,rssi",,37.59,6.7,1.1,152
018a2e6d,linklab,temp_humid,15min,"56.9,7.73,1.1","Temperature_°C,Humidity_%,T-Sensor,rssi",,56.9,7.73,1.1,158
5.06E+73,linklab,light_level,30min,"58.28,9.06,3.1","Illumination_lx,Range select,Supply voltage_V,rssi",,58.28,9.06,3.1,159
050621b6,linklab,light_level,30min,"2.07,5.21,3.1","Illumination_lx,Range select,Supply voltage_V,rssi",,2.07,5.21,3.1,160
0583cEc6,linklab,dual_motion,100s,"2.12,5.06,3.1","PIR Status,Supply voltage (OPTIONAL)_V,Supply voltage availability,rssi",,2.12,5.06,3.1,160
0183436c,linklab,contact,25min,"0.2,5.61,1.1","Contact,rssi",,0.2,5.61,1.1,160
